Question;Reponse
A partir de combien de mois un ROI en general devient ininteressant ? (Retour sur investissement);De maniere general, au dela de 36 mois il y a peu de chance que ce soit rentable. 
Qu'est-ce que le TCO ? Et comment le calculer ?(ITIL);Le TCO est le Total Cost of Ownership, ou le coût total de possession, nmbr de poste user / cout total de l'infra sur un an par exemple = TCO/users/an  
J'ai signe avec mon prestataire un contrat de service, qu'est-ce que c'est ?;Le contrat de service ou SLA, renseigne toutes les informations sur les besoins, les interlocuteurs/services concernes, les exigences comme le taux de dispo / maintenance / delais de resolutions ... Et donc les engagements de maniere general 
Citez moi les 5 concepts principaux d'ITIL ? (V3) ;Strategie > Conception > Transition > Exploitation > Amelioration continue 
Dans quel concept d'ITIL se positionne la gestion des conflits ? ;Dans la Transition.
Que regroupe le concept d'Exploitation d'ITIL ? (ceux qu'on a vu en cours);La Gestion des Incidents et la gestion des problemes
Dans le cadre de la gestion du changement, je dois rediger une RFC (request for change), que doit elle contenir ?;La RFC est un document qui doit être envoye au Change Advisory Board (comite de chngmt), et doit contenir la procedure de chgmnt > dates, ce qui est prevu, motif, risques, procedure de validation, procedure de retour arriere en cas d'echec, ...
ITIL c'est quoi ? ;ITIL est un recueuil de bonne pratique concernant la gestion du service d'informations en entreprise.
De nombreux risques peuvent menacer mon projet, comment faire pour les gerer ?;Il faut les identifier, evaluer leur criticite, et enfin les traiter. 
Comment calcule t on la criticite d'un risque ?;Sur une echelle de 1 a 10 : Criticite = Probabilite X Impact/gravite (optionnel : X capacite de detection / a t on le tps de reagir ?)
J'ai calcule la criticite des risques encourus pour mon projet, comment les traiter ?;On peut traiter les risques en agissant sur l'impact (Protection) et/ou sur la probabilite (Prevention).
Il y a 5 concepts principaux dans la securite informatique, lesquels ?;L'authentification / la non repudiation (Le fait de ne pas pouvoir nier, accuse de reception,...) / l'integrite des donnees / La confidentialite des donnees / La disponibilite des donnees
Je dois calculer le taux de disponibilite de mes serveurs pour faire un bilan annuel, comment puis je faire ?;Taux de disponibilite = le temps de dispo effectif sur l'annee passee / Le temps de disponibilite souhaite sur l'annee (maximum en general donc 100%)
PCA qu'est ce que c'est ?;Plan de Continuite d'Activite, processus a suivre en cas de sinistre pour pouvoir maintenir l'activite en attendant le retour a la normale.
Le PRA, c'est quoi ?;Plan de Reprise d'Activite, c'est le processus a suivre en cas de sinistre pour reprendre l'activite normale de l'entreprise
PCA , PRA , RPO, RTO, je ne comprends rien, quels liens entre tous ces acronymes ?;A partir d'un audit, les clients vont convenir de donnees : RPO (quantite perte de donnees acceptable) et RTO (Temps d'arrêt d'activite acceptable) sur lesquelles on va se baser pour etablir un PRA dans qui contiendra un PCA, de maniere a pouvoir continuer l'activite (PCA) tout en operant pour un retour a la normale (PRA), le tout avec un budget coherent pour repondre aux besoins exprimes via le RPO et le RTO. 
Mon DSI m'a charge du projet de migration de l'infrastructure, qui sommes nous par rapport au projet ? (vocabulaire);Le DSI est alors le maître d'ouvrage, c'est lui qui commande le projet (client), moi je suis le maître d'oeuvre (je l'execute).
Mon projet n'a pas ete valide alors qu'il permettrait d'economiser 30 000 euros / mois sur la telephonie avec un coût d'investissement de seulement 430 000 euros et 300 000 pour le materiel, pourquoi ?? ;Car le Retour sur investissement est trop long pour la direction, en l'occurence ici il est de 24/25 mois.
Quels sont les 3 piliers indissociables qui doivent être en equilibre lors d'un projet ? ;L'objectif, le coût/budget, le delai, si l'on touche l'un des trois, Il faut prêter attention aux 2 autres, si le delai est plus court, peut on garder le même budget et avoir le même objectif ?, ... 
Avant de commencer un projet, 2 etapes sont primordiales, lesquelles ?;Il faut des le debut 1) cadrer le projet par une note de cadrage / trace ecrite, qui mettra en accord les visions du MOA et du MOE, fixera les limites du projet, l'objectif, ... Puis 2) Monter un dossier d'avant projet qui resumera l'ensemble des informations du projet, l'etude des solutions et l'organisation du projet, ce dossier sera presente et enfin valide ou refuse.
Durant le deroulement de mon projet, je me suis rendu compte que je devais m'occuper de la VOIP ainsi que de la telephonie du parc, ce n'etait pas prevu et ça rajoute un coût consequent en plus d'allonger la duree, qu'est ce qui aurait pu m'eviter cela ?;Dans la note de cadrage il aurait fallu delimiter le perimetre d'action du projet pour y integrer ou non ce type d'intervention.
Quelles sont les 3 etapes dans la methodologie de conduite de projet ?;1) Le cadrage et choix des solutions pour le projet - 2) La realisation et les tests - 3) Recette (verification) et mise en exploitation 
Dans le cadre d'un projet, qui doit fixer le budget et le delai ?;C'est la maitrise d'ouvrage (MOA).
Qu'est ce qu'un ETP ?;ETP = Emploi temps plein, c'est une unite de calcul pour les ressources humaines sur un projet, 1 ETP = 1 personne a temps plein sur le projet.
La direction generale m'a confie un projet pour une duree de 175 jours a compter du depart du projet, et a provisionne 600 jours hommes, combien de personnes a temps plein je devrai prendre dans mon equipe pour respecter le delai ?;Je devrai avoir dans mon equipe au moins 3.43 ETP, l'equivalent de 3 personnes a temps plein + un temps partiel (600/175=3.428)
Quel outil pourrait me servir pour la gestion des intervenants et de leurs rôles ?;La matrice RACI (Responsable de real, Approbateur, Consulte et Informe
Mon projet est sur le point d'être mis en production, je dois avant tester la solution, comment s'y prendre correctement ?;En planifiant une checklist de test avec des scenarios, ... Une fois le plan etabli > Execution des tests puis un rapport doit être fait, enfin si des problemes sont rencontres > resolution et reiteration de l'ensemble des tests.
L'estimation de la duree de mon projet est assez complexe a estimer, quelle première etape dois faire pour faciliter l'estimation et le decoupage ?;Je dois decouper l'ensemble de mon projet en tâches precise et de maniere assez fine, de cette maniere je pourrai estimer plus precisemment la duree de chaque tâche et donc la duree globale du projet
Comment puis je estimer la duree d'une tâche de manière detaillee et en essayant d'être le plus precis possible ?;En calculant une moyenne ponderee : On decoupe la tâche en action, on estime le temps de chaque action de maniere realiste (R) puis on recommence de maniere Optimiste (O) et enfin de maniere pessimiste (P) , on obtient donc 3 valeurs >> ( O +( 4 x R )+ P) / 6 = moyenne ponderee  
Mon responsable m'a demande de faire un diagramme de PERT pour mon projet, qu'est ce que c'est ?;Le diagramme de Pert consiste a representer les differentes tâches du projet en CASE, qui seront reliees les unes aux autres en fonction de leur dependance ainsi que de leur ordre sur une echelle de temps, ce qui permet d'avoir une vision globale du projet, des tâches qui le composent ainsi que du chemin critique. 
Qu'est ce que le chemin critique ?;C'est le 'chemin' qui passe par toutes les tâches les plus longues et qui ne possedent pas de marge libre, ce qui signifie que si l'une des tâches sur ce chemin prend du retard, l'ensemble du projet en prend aussi.
La fin de mon projet doit correspondre avec la sortie du jeu, j'ai effectue un planning standard mais mon responsable me demande de faire du retro-planning, comment faire ?;Le retro-planning c'est la planification des tâches en partant de la date de fin du projet.
