Question;Reponse
${LRED}Itil${RESTORE} c’est quoi ?;Collection de livres qui traite des bonnes pratiques dans la gestion des services informatiques
Quels sont les noms des 5 ouvrages ?;Strategie de Services, Conception des services, Transition des services, Exploitation des services et Amelioration continue des services.
Comment un service cree de la valeur ? ;En etant utile (amelioration perf ou suppression contraintes) et utilisable (capacite, disponibilite, continuite et disponibilite suffisante)
Un service c’est quoi ? ;C’est un moyen de fournir de la valeur au client sans qu’il n’en support les coûts ni les risques.
La gestion de services c’est quoi ? ;Ensemble de dispositions permettant de fournir de la valeur au client sous forme de service. On a les fonctions et les processus.
Quels sont les acteurs d’un service ?;Le fournisseur, le client, l’utilisateur, le proprietaire et le gestionnaire.
Citez-moi les differents types de fournisseur de services ? ;Interne (type 1), partage (type 2) et externe
Cite moi aux moins 4 caracteristiques d’un processus ? ;Un ou des elements definis en entres, un ou des elements en sortis qui peuvent être en entree d’un autre, mesurable (kpi, csf), un ou des resultats attendus, un ou des clients, un ou des declencheurs. 
L’efficacite et l’efficience c’est quoi ? ;Objectifs atteints et efficience c’est l’efficacite au moindre coup (ressources moindres, etc…)
Quelle est la difference entre un service et un projet informatique ?;Un projet est une implementation purement technique, non tournee vers le client alors que le service sera beaucoup plus tourne vers le client avec des notions de qualite de service, une amelioration continue, une maitrise de bout en bout. Dans l’implementation d’un service, nous avons une phase projet.
Une fonction c’est quoi?;Ensemble de personnes agissant pour un certain type de travaux. Ces personnes executeront un certain nombre d’activites relatives a un ou plusieurs processus.
Quelles sont les 4 fonctions et leurs definitions definies dans ITIL ?;REPONSE ==> Centre de services qui sera le point de contact unique pour les utilisateurs\n==> La gestion technique en charge de la MCO des systemes informatiques (N2 et N3 prod)\n==> La gestion des applications en charge de la MCO des applications (N2 et N3 applicatifs)\n==> La gestion des operations qui consiste a la realisation d’activite operationnelle (MG avec la clim, les badges, le centre electrogene, l’equipe en charge des rotations k7 sauvegardes, agent de supervision)
Un rôle c’est quoi et sur quel outil on s’appuie pour les definir ?;Il s’agit d’une responsabilite, consigne etc. a un instant t pour une activite donnee. C’est le modele RACI qui determine les rôles de chacun dans les differents services, processus, taches, activites etc. « Chacun » peut-être une fonction, une personne, le responsable ou gestionnaire d’un processus ou services… 
Pouvez-vous me decrire la signification des lettres R.A.C.I et dans quels cas c'est utilise ? ;REPONSE ==> R = Responsible qui va correspondre a celui qui realise la tâche\n==> A = Accountable qui est le responsable de R. Il approuve et valide les actions de R et doit rendre des comptes\n==> C = Consulted qui correspond a un expert, preferable externe qui pourra assister R\n==> I = Informed qui doit être tenu au courant de tout ce qui se passe.
L’etude des services a proposer aux clients s’effectue dans quelle publication ?;Strategie de services
La definition des metriques a mettre en œuvre pour surveiller la qualite des services se passe dans quelle publication ?;Conception des services notamment avec la gestion des niveaux de services qui nous servira de metrique.
La fourniture continue du service au client s’effectue a travers quelle publication ?;Exploitation des services qui permettra de faire ce qu’on appelle de la MCO.
La verification de l’impact des services et de la reussite de leur deploiement se passe dans quelle publication ?;Transition de services avec la gestion de l’evaluation des changements et de la validation et des tests.
Pour une bonne reussite de la strategie de service, quels sont les 4 P et les expliquer ?;REPONSE ==> Perspective qui signifie que dans notre reflexion sur les services, il faut penser a demain, vision d’avenir.\n ==> Perennisation : On fera en sorte que notre service soit durable. On ne va pas se dechirer sur un truc termine dans 1 an.\n ==> Positionnement : S’assurer que nous sommes bien places face a la concurrence (tarifs, elements differentiateurs...)\n ==> Plan : Planifier les actions a suivre pour parvenir a ses objectifs. 
Quels sont les processus de la strategie de service ?;Definition de la strategie, gestion du portefeuille de service, gestion des demandes, gestion financieres et gestion de la relation metier. 
Que contient le portefeuille de service ?;Services retires, Pipeline de service, Services a l’etude (encore au stade de la strategie), catalogue de service et les services actuels (même chose que catalogue).
À quoi sert le processus « Gestion de la demande » ? ;Connaitre les besoins clients, Adapter la strategie de service, eliminer toutes incertitudes dans la demande cliente. 
Que permet le processus « Gestion de la relation metier » de la strategie de service ?;Maintenir une relation de confiance avec les clients pour garantir la satisfaction generale ressentie
Le ROI c’est quoi ?;C’est le retour sur investissement. Il s’agit d’une duree apres laquelle le service rapporte de l’argent.
TCO, Cout et prix d’un service, expliquez-moi tout ça svp;Le TCO (Total cost Ownership) est ce que nous coûte la conception du service en prenant compte ce que l’on possede deja et combien il nous coutera pour le maintenir. Le cout d’un service represente ce qu’on a dû depenser pour le concevoir et le prix, son prix de vente (cout + marge). 
Quels sont les processus de la conception de services ?;Gestion de la securite informatique, de la continuite, disponibilite, capacite, fournisseurs, catalogue de service, les niveaux de services (sla) et la coordination de la conception.
Quels sont les 4 P a preparer et planifier de maniere efficace et efficience pour une bonne conception de services ? ;REPONSE ==> Personnes (Utiliser les meilleures ressources en fonction du besoin)\n==> Processus (Creer des nouveaux processus et adapter ceux deja en place avec l’evolution des services proposes)\n==> Produits (On choisit des produits adaptes a notre besoin actuel et futurs, dont le support sera au moins maintenu pendant la duree de fourniture du service…)\n==> Partenaires (On va s’assurer qu’ils vont durer dans le temps, qualite et adaptes aux besoins). 
Le SLR c’est quoi ?;Il s’agit du document relatant des exigences du client en matiere de qualite de service. Ça fait partie du package de demande client. 
Dans la conception de services, on va decider de comment on va realiser/fournir/exploiter et maintenir le service. À quoi correspondent le Co-Sourcing et l'outsourcing ? ;Le co-sourcing est l’exploitation et la connaissance partagee en interne et externe. L'outsourcing c’est l’exploitation en externe (infogerance). 
Dans la conception de services, dans quel processus intervient le chef de projet ?;Dans la coordination de la conception. 
Quelle est la difference entre la gestion de la disponibilite et de la continuite ? ;Dans la gestion de la disponibilite, on va s’assurer que le service soit livre dans le respect des SLA en matiere de disponibilite. Dans la gestion de la continuite, on va s’assurer que le service soit toujours livre en respectant les SLA mais cette fois-ci dans un environnement degrade suite a un sinistre majeur côte client ou DSI.
Un SLA c’est quoi et dans quel processus est-il defini ? ;Il s’agit d’un accord de service sur les exigences fonctionnelles et operationnelles. C’est une reponse que l’on apporte a une demande cliente. La gestion des SLA intervient dans le processus « gestion des niveaux de services » de la conception de services. 
Un SLR c’est quoi ? ;SLR (Service level requirement) correspond a la demande cliente. Il est utilise pour la redaction des SLA. 
OLA et UC c’est quoi . Differences ? ;REPONSE ==> OLA (Operationnal Level Agreement) et un accord de niveau de service avec un fournisseur interne. Il est generalement dispense d’indemnites financieres.\n==> L’UC (Underpinning Contract ou contrat de sous-traitance) est un accord de niveau de service avec les fournisseurs externes. Ici on a des penalites financieres d’inscrites. Ces deux elements interviennent dans la conception des SLA. 
PCA et PRA c’est quoi ? ;REPONSE ==> PCA = Plan de continuite d’activite. Il est decrit et teste dans le processus gestion de la continuite. Il permet de definir les etapes a suivre selon des risques predefinis afin de continuer les activites de service. À la fin d’un PCA nous sommes en environnement degrade.\n==> Le PRA (plan de reprise d’activite) definit les etapes a suivre afin de revenir a un fonctionnement optimal avant la venue du sinistre majeur. 
Que permet de processus « Gestion de la capacite » dans la conception de services ? ;S’assurer que les services actuels et futurs continueront d’être livres dans le respect des SLA malgre l’augmentation des services proposes, les mouvements de la DSI, evolution stockage, cpu… ça implique d’avoir une bonne connaissance des composants de l’infrastructure.
La gestion de la capacite dans la conception de services est divisee en 3 sous processus. Quels sont-ils et decrivez-les-moi ? ;REPONSE ==> BCM (Business Capacity management) est un processus qui va verifier la capacite orientee metiers. Nous sommes ici dans les futurs besoins, en lien avec la strategie de services (va eviter de definir des services pour lesquelles nos capacites sont proches de 0, on a tout a faire). \n ==> SCM (Service Capacity management) : ici nous sommes sur les performances. On va verifier que les perfs sont la avec tous les mouvements/evolutions de services qu’il peut y avoir. Ici on aura la notion de rapports mensuels sur differents points de l’infra (cpu, stockage, nb serve, mem…). \n ==> CCM (Component Capacity management) : ce processus va s’assurer que nous disposons bien de toutes les ressources materiels/humaine pour continuer a fournir les services actuels et futurs avec leurs evolutions dans le respect des SLA. En sortie on peut avoir des recrutements, achat de matos, logiciels, montees de version…
Que signifie CIA et dans quel processus intervient-il ?;Confidentialite, integrite et disponibilite (availability). Ça intervient dans la gestion de la securite de la conception de services. 
