Question;Reponse
Quels sont les rôles du serveur BAL ?;De stocker les bases de donnees, Gerer le transport et la categorisation ainsi que la messagerie unifie.
Quels sont les rôles du serveur CAS ?;Il gere l'authentification des clients, gere le routage et le filtrage ainsi que les protocoles clients (http/s, pop3, imap4, SMTP)
Qu'est ce qu'un serveur Edge ?;C'est un serveur qui fait office de relais SMTP
Comment le serveur CAS peut il situer l'emplacement d'une mailbox ? Sur quelle database / quel serveur , se situe la mb ?;Grâce a une resolution LDAP base sur l'ExchangeGUID lie a la mailbox, pas besoin du MX.
Quel est le mecanisme qui permet a un client lourds Outlook de se configurer simplement avec l'adresse de messagerie de l'utilisateur et son pwd ? Comment fonctionne t il ?;C'est l'autodiscover, qui au travers d'une requête LDAP va interoger l'AD pour localiser le serveur CAS et recuperer un fichier .xml avec les infos de configuration.
Je souhaite installer un serveur Exchange dans mon domaine, que dois je faire avant de commencer l'installation ?;Il faut au prealable preparer l'AD, le schema, les partitions, objets, ... On utilise l'outil setup.exe de l'iso Exchange avec le /PrepareAD 
Quel est le protocole de transport des mails ? Donnez aussi sont port et sa version securisee.;C'est SMTP port 25 tcp et 465
Je suis dans un domaine d'entreprise, dans le bureau donc en interne. Je me connecte a OWA via un alias DNS local (mail.babidi.boo par exemple), Quel serveur repond a ma requete et gere ma connexion OWA ?;C'est le serveur CAS qui gere les acces client, y compris pour OWA.
Combien de Base de donnees puis je creer maximum avec une license Exchange Standard ?;Autant que l'on souhaite, ce n'est pas la creation qui est limitee, mais le nombre de BDD montee et utilisee simultanement (5 en l'occurence avec une license standard)
Quel est le protocole qui me permet de recuperer mes mails sans les laisser sur le serveur une fois recuperes ?;C'est le protocole POP qui supprime les mails sur le serveur une fois recupere, il y a cependant une option sur les clients pour bloquer ce mode de fonctionnement
Quel type d'enregistrement me permet d'assurer aux autres serveurs de messagerie du monde que c'est bien mon serveur de messagerie qui est cense envoyer les mails de mon entreprise ?;C'est un enregistrement SPF de type TXT 
Quels sont les differents type de destinataire qu'il est possible de creer dans Exchange ? (il y en a 10);Il est possible de creer : Un groupe de distribution dynamique, une mailbox liee, une mailbox distante, une mailbox de site, un dossier public, une mailbox de ressource, une mailbox partagee, une groupe de distribution statique, un contact et enfin une mailbox utilisateur standard. 
Quels sont les 2 types de fichier qui sont utilises par outlook pour le stockage des mails en local ?;Les fichiers .PST et .OST
Quel est le numero de port en version standard et securise pour POP3 ?;POP3 : TCP/UDP 110 et 995 pour la version securisee
Quel est le numero de port en version standard et securise pour IMAP4 ?;IMAP4 : TCP/UDP 143 et 993
C'est quoi le serveur Back end ? A quoi il sert ?;Le serveur back end c'est le serveur de Boite au lettre, c'est la où sont stockees les base de donnees, c'est aussi lui qui gere les services de transport et routage des messages
C'est quoi le serveur Front end ?;C'est le serveur CAS , Control access server. 
