Question;Reponse
Donnez moi la commande (debian) exacte pour ajouter une route vers le reseau 192.168.1.0/24 qui possede comme routeur 172.31.255.3;ip r add 192.168.1.0/24 via 172.31.255.3
Dans quel fichier doit-on ecrire pour ajouter une route de maniere statique ?;/etc/network/interfaces
Quel est le port et le protocole pour DHCPv4 ? (ex : 189-TCP/UDP);67/68-UDP
Port DNS (ex : 189-TCP/UDP) ? ;53-UDP
Qu'est qu'une requête recursive ?;Une requête recursive est une requête envoyee a un serveur DNS dans laquelle le client DNS demande au serveur de fournir une reponse complete. Une requête recursive ne peut pas être redirigee vers un autre serveur DNS. Dans une requête recursive, le serveur DNS interroge est somme de renvoyer l’une des trois reponses suivantes : Les donnees informatiques demandees. Un message d’erreur indiquant que les donnees informatiques du type demande n’existent pas. Un message indiquant que le nom de domaine specifie n’existe pas
Qu'est ce qu'une requete iterative ?;Une requête iterative est une requête envoyee a un serveur DNS dans laquelle le client DNS demande la meilleure reponse que peut fournir le serveur DNS. Le resultat d’une requête iterative est souvent une reference a un autre serveur DNS situe plus bas dans l’arborescence DNS.
Un serveur DNS peut avoir 2 roles, lesquels ? ;Resolveur ou Hebergeur
Le serveur DNS resolveur peut repondre en faisant 2 type de requêtes, lesquelles ? ;Recursives et iteratives
Citez moi 5 types d enregistrement DNS;SOA NS A/AAAA PTR MX TXT CNAME
Qui fait autorite sur la zone DNS, le SOA ou le NS ?;Le NS fait aurotite sur la zone, le SOA est celui qui a le droit d ecrire dans la zone
FQDN c est quoi ? ;Fully Qualified Domain Name, c est le nom complet compose du nom d hote et de domaine (et eventuellement sous domaine)
Citez moi 3 ports important pour les mails ?;25-SMTP , 110-POP3 , 143-IMAP
Citez moi les 5 rôles FSMO;Maître de schema (Schema Master) Appele egalement Maître d'operation, il gere l'ensemble des mises a jour et modifications du schema. ... Maître d'attribution des noms domaine (Domain Naming Master) ... Maître d'infrastructure (Infrastructure Master) ... Maitre RID (RID Master) ... Le PDC Emulator.
Quelles sont les commandes pour resoudre des requêtes DNS ?;Nslookup et dig (Host aussi sur linux)
Quels sont les parametres MINIMAUX a distribuer pour un serveur DHCP ?;IP, mask, le bail
Que se passe-t-il si plusieurs serveurs DHCP sont presents sur un même reseau ?;Celui qui attribue le premier gagne
Qu utilise t on dans le cas où un seul serveur DHCP distribue des baux sur des rsx differents ?;Des relais DHCP
Quel est le nom du paquet a installer pour avoir un serveur DHCP sur linux ?;isc-dhcp-server
Peut-on limiter/filtrer les clients a qui on distribue des adresses IP ?;oui , via les adresses MAC en exclusion ou reservation
NTP c'est quoi ? ;Network time protocol , c'est le service de temps pour synchroniser les machines
Quel port pour NTP (ex : 64-tcp) ?;123-udp
Comment s'organise la synchronisation horaire avec les controleurs AD ?;Avec W32time, les clients se synchronisent automatiquement sur les DC qui eux se synchronisent avec celui qui possedent rôle PDC qui lui doit se synchroniser sur une source externe.
Une strate c'est quoi ?;C est le niveau de proximite avec les sources de temps initiales (type horloge atomique, gps, ...)
Dans le cadre de DFS, expliquez moi ce qu'est ABE ?;Acces base sur l enumeration, permet d afficher uniquement les ressources auxquelles l user a des droits d acces
La Racine de l espace de nom, c est quoi ? ;La racine de l espace de nom est le dossier heberge sur sur un srv DFSN a partir duquel les clients peuvent acceder aux donnees partagees
AGDLP c est quoi ?;C est la bonne pratique preconisee par Microsoft pour la gestion des comptes et des permissions dans un domaine AD : Account > Global > Domain Local > Permission 
Citez-moi les rôles dans une infra RDS. ;Gateway (passerelle), Web access, Broker, Hote de session, gestionnaire de licence, hote de virtualisation
