Question;Reponse
Sur Centreon, dans quel ordre dois je creer les hosts, les commandes, ... ?;En 1e les commandes, puis les templates de service, puis les templates d'host et enfin les hosts.
Quelle est la commande pour verifier si un hôte est en ligne ? (vivant ?);Check_ping
Quel est le comportement de Centreon lorsqu'un service ne repond plus au check ?;Il va dans un premier temps check l'host en relation avec le service down pour verifier l'etat de ce dernier, si il ne repond pas il va remonter les relations parentes jusqu'a trouver un noeud vivant. 
Il existe 4 types de supervision, lesquels ? ;La supervision inactive (pas de supervision ou alarme ignoree), Reactive (pas de Supervision ou reaction aux prblms quand ils surviennent), Interactive (Supervision OK mais correction manuelle des incidents), et Proactive #Saint Graal (detection des pannes et resolution automatisee) 
Sur quel protocole repose la supervision ? En particulier pour les sondes distantes avec intermediaire ?;Sur SNMP Simple Network Management Protocol
Quels sont les ports de SNMP et quel port est utilise pour quoi ? ;161 et 162 UDP ou TCP, 161 = l'agent supervise ecoute les request du superviseur, 162 = le superviseur ecoute les request des agents supervises
Expliquez ce qu'est une MIB ? ;Les MIB sont les bases d'informations dont disposent les agents et qui contiennet les infos des differents services, ... Elle est constituee d OID qui represente les noeuds de la base MIB.
Un OID c'est quoi ? ;Un OID est un object identifier, c'est ce qui permet d'identifier les noeuds de l'arborescence de la MIB, par exemple l OID 1.3.6.1.2.1.2.2.1.2 = ifdescr = interface rsx 
On me dit que l'OID 1.3.6.1.4.1.9 a quelque chose de special, quoi donc ? ;C'est un OID d'une MIB proprietaire parce qu'il y a ....4.1 = catin = qui fait payer ... donc MIB proprietaire
C'est quoi une TRAP SNMP ?;C'est l'alerte qu'envoie un agent supervise lorsqu'un evenement anormal se produit (shut du service par exemple), a contrario de la sonde où le superviseur va check l'etat du service et se rendre compte de lui même que le service est down
Pourquoi est il preferable que la TRAP SNMP soit parametre en UDP ? ;Dans le cas de figure où l'agent supervise a un incident, et donc potentiellement qu'un service pose probleme, il ne doit pas s encombrer de la gestion qu entraine le TCP pour l envoi de l alerte au superviseur, par exemple un switch sature ne doit pas se saturer encore plus avec un echange de trame TCP...
Quels sont les outils (commandes) pour recuperer des informations dans les MIB ? ;snmpwalk et snmpget, exemple : snmpwalk -v2c -Of -c public localhost = liste des OID avec leurs noms, si on remplace -Of par -On = avec les numeros ce qui est bien plus performant pour le scripting.
Quel est le nom du mecanisme qui permet a Nagios / Centreon de remonter l'arborescence en cas de defaillance d'un service / host ?;C'est le NETWORK OUTAGE
J'ai un serveur chez un client qui me sert de porte d'entree pour toute ma supervision dans leur entreprise, si le service SSH tombe je perds toute la supervision, quel nom donne-t-on a ce point cle ?;C'est un SPOF de supervision = Single Point Of Failure
J'essaie de creer une sonde pour un HOST, et je dois gerer le code retour de cette derniere, a quoi correspondent ces numeros ? (0 - 1 - 2) ;0 = UP (Ok), 1 = DOWN (L'host est down), 2 = UNREACHABLE (un Parent est down donc l host est injoignable)
Dans une doc il ets indique que pour la sonde check_service je peux recuperer 5 statuts differents, lesquels ? ;0 = OK , 1 = WARNMING , 2 = CRITICAL , 3 = UNKNOWN (Pas encore de donnees ou prblm interne), 4 = PENDING (En cours de traitement des donnees) 
Lorsqu'un statut est confirme, on dit qu'il est ? ;HARD, l'etat est confirme.
Quelle difference entre les etats HARD et SOFT ? ;Une sonde va renvoyer un resultat suite a un Check, si le statut est confirme et n'a pas change depuis un certain temps on a alors un etat HARD, lorsque le resultat aboutit a un changement d'etat (CRITICAL par ex) on passe alors en SOFT qui ets une periode de transition pendant laquelle on va tester avec un intervalle plus court pour valider ou non l'etat et passer a un HARD
Quels sont les differents parametres utilises pour l'etablissement des HARD / SOFT state ?;Il y a le normal check qui est la frequence du check en temps normal (donc sous HARD state) puis le retry check qui accelere la frequence des checks (lors d'un passage en SOFT), et enfin le max check qui determine le nmbr de fois avant de passer d'un SOFT state vers un HARD  
Je dois superviser une entreprise distante, ils ont un routeur FW en front et une DMZ, comment puis je proceder ?  ;En installant un serveur de supervision distant chez eux qui communiquera avec mon serveur de supervision principal ou grâce a la commande Check_by_SSH, ...
Le Flapping c'est quoi ? ;C'est lorsqu'un service a des changements d'etat tres frequents, il va alors remonte ok warning critique warning ok warning crit... ça va alors generer beaucoup de notifications
