Question;Reponse
Quel est le but general de la virtualisation ?;De mutualiser les ressources physiques et de s'affranchir des limites que la matériel nous impose pour optimiser l'utilisation, la gestion de l'ensemble des ressources, faciliter l'utilisation finale, ...
Qu'est qu'un hyperviseur de type 1(un) ? citez moi des exemples. ;Un hyperviseur de type 1 fait office d'OS, il est directement installé sur la matériel et améliore les performances des machines virtualisées. Esxi, Hyper-V, Xen Server.
Qu'est qu'un hyperviseur de type 2 ? citez moi des exemples. ;Un hyperviseur de type 2 est installé au dessus d'un OS, comme une application, les requètes des VMs passent donc par l'OS avant d'atteindre le matériel. VirtualBox, Workstation / Player, VirtualPC, ...
Qu'est ce que le modele SPI ?;Le modele SPI est le modele d'hebergement externalisé via les offres SaaS PaaS IaaS, qui permet le service à la demande, de payer un coût lié à l'utilisation réelle, d'avoir une flexibilité de charge, ...
Quels sont les mécanismes qui permettent la virtualisation au niveau des processeurs AMD et Intel ?;Ce sont les technologies VT-X d'intel et AMD-V
Le client Vsphere ou le gestionnaire Hyper-V, c'est quoi ??;Ce sont des VMM, virtual machine manager qui permettent la création, suppression, gestion des vm, de gérer les fonctionnalités de l'hyperviseur, ...
Ma VM refuse de démarrer, pourtant il y a assez de ram (16Go), cpu (1Vcpu) de disponible sur l'hôte, le disque n'est pas rempli (92/100 Go), le datastore non plus (985/1000 Go), Pourquoi ? ;Il n'y a plus assez d'espace de stockage pour la création du fichier RAM / SWAP nécessaire pour le démarrage de la VM. 
Quels sont les fichiers qui composent une VM ?;Les 2 fichiers VMDK et Flat VMDK pour les métadonnées du disque et le disque, le VMX pour la conf de la vm, NVRAM pour le bios, VMSS pour l'état de la VM si en mode supend, VSWP pour le SWAP, les LOGS, les fichiers RDM s'il y en a, d'autres fichiers peuvent être présent en cas de fonctionnalités particulières. 
Je fais un snapshot de ma VM, quels fichiers sont créés ?;Un fichier -DELTA.VMDK est créé dans lequel la VM continue d'écrire, le fichier original .VMDK lui est figé et en lecture seule ce sera ce fichier qui permettra le retour à l'état antiérieur, VMSD qui contient les métadonnées du/des Snapshot, VMSN qui contient l'état du snapshot de la VM, et un autre fichier VMDK qui contient desmétadonnées associés au snapshot. 
Que me permet de faire le Vmotion / Storage Vmotion ?;Fonctionnalité qui permet de déplacer les ressources de calculs et/ou de stockage d'un hôte à un autre ou d'une banque de données à une autre.
Que permet de faire le DRS chez Vmware ? ;Le DRS est l'automatisation du déplacement des VM (ressources de calculs et/ou stockage) d'un hôte vers un autre en fonction de certains critères comme la charge.
Il existe la High Availability chez vmware, ça a l'air bien en cas de pépin d'un hôte mais il y a une principale problèmatique, laquelle ? Qu'est ce qui peut éviter cette problématique ?;Les VMs de l'hôte défaillant seront déplacées sur un autre automatiquement en cas de problème mais les VMs devront redémarrer sur le nouvel hôte, ce n'est donc pas effectué à chaud, 
Je n'arrive pas à me connecter à mon Vcenter 6.5 avec mon appli Vsphere, pourquoi ?;Depuis la version 6.5 le client lourd a été abandonné et il faut utiliser le client web
Qu'est ce que c'est ?? Vnic ? Vmnic ? Pnic ? Vswitch ? Pswitch ? Vmswitch ? switch ?;Vnic = Carte réseau virtuelle des VM, VMnic = carte réseau de l'hôte connectée au vswitch, Pnic = Carte réseau physique de l'hôte, Vswitch = switch virtuel géré par l'hôte, Pswitch et VMswitch n'existent pas et switch est (entre autre) une console de nintendo.
