Question;Reponse
De combien de module est composé la méthode EBIOS 2010 ? ; De 5 modules.
Quel terme utilise t on pour parler des activités priomordiales de l'entreprise dans ISO 27005 ? ; On parle d'Actifs Primaires.
Quel terme utilise t on pour parler des activités priomordiales de l'entreprise dans EBIOS 2010 ? ; On parle de Biens essentiels.
Qu est ce que le risque net ? ; Le risque net est un risque comprenant les mesures de securite existantes.
Qu'est ce que le risque residuel ? ; Le risque residuel est le niveau de risque apres l implementation des mesures de traitement.
A quoi sert le module 1 de la methode EBIOS 2010 ? ; Il sert a comprendre l environnement de l entreprise, definir le perimetre, les objectifs, les biens essentiels, supports, parametres, definir les echelles, ... Le but est de collecter l ensemble des elements qui seront necessaire pour la gestion des risques.
A quelle frequence sont re-examinees les normes ISO ? ; Tous les 5 ans en general.
La norme 27005 permet elle une certification ? ; Non, elle decrit une demarche comme 27002, hygiene ANSSI, ... mais ne permet pas une certification contrairement a 27001.
Qu est ce qu un actif informationnel ? Donnez un exemple. ; D apres ISO 27005, c est une information primordiale pour un/des actifs primaires.  Exemples : Recette de medicament, brevet, base client, ...
Qu est ce qu un processus metier ? A quelle categorie d actif les processus metiers appartiennent ils ? ; Ils appartiennent aux actifs primaires et ce sont les grandes activites de l entreprise, exemple : Processus metier de production des pizzas, gestion des commandes, ... 
Quel organisme redige et regit les normes ISO ? ; C est l organisme ISO (Organisation internationale de normalisation).
A quoi correspond le descriptif suivant : "source humaine interne - malveillante - capacites importantes - employe mecontent" ? ; A une source de menace identifiee lors du module 1 EBIOS.
Une fois que les sources de menace et les biens essentiels / supports ont ete identifie, nous passons au module 2 EBIOS, que devons nous faire dans ce module ? ; Pour chaque critere de securite de chaque bien essentiel, Nous allons devoir etudier les evenements redoutes en definissant les besoins de securite, les impacts et les sources de menaces. Puis nous allons classer ces events redoutes.
Donnez quelques exemples de besoin de securite pour une indisponibilite de serveur de messagerie. ; L evenement redoute etant une indisponibilite, le besoin de securite sera alors la duree d indisponibilite / retour a la normale. L echelle sera donc temporelle : - de 1 heure, entre 1h et 2h, 2h et 4h, ...
Quels sont les trois principaux criteres de securite sur les actifs ? CID : Confidentialite , Integrite et Disponibilite. (possibilite d ajouter T = Tracabilite)
Decrivez ce qu est la vraisemblance ? Comment peut on calculer son niveau pour un scenario de menace ? ; La vraisemblance represente la potentialite qu un evenement puisse survenir, on l'apprecie en s aidant des sources de menace (admin malveillant, script kiddy, ...), du scenario, notre experience, ...
Une fois que les sources de menaces ont ete identifiees, doit on toutes les considerer dans la gestion du risque ? ; C est la direction / Codir / .. qui decidera des menaces a prendre en consideration ou non.
