Question;Reponse
Que signifie PDCA ? A quoi ca sert ? ; Plan Do Check Act, c est un modele cyclique d amelioration continue. Le but est de planifier un projet, le mettre en place, verifier la mise en place et entreprendre des ameliorations / actions correctives, puis boucler.
A quoi servent ISO 27000, 27001 et 27003 ? ; 27000 = Dictionnaire / Definitions du SMSI , 27001 = Exigences du SMSI , 27003 = Guide de mise en oeuvre du SMSI.
A quoi servent ISO 27002, ISO 27017 et ISO 27004 ? ; 27002 = Les bonnes pratiques SSI, 27017 = Revue des bonnes pratiques 27002 pour le cloud, 27004 = Indicateurs pour le SMSI.
A quelles normes ISO correspondent les intitules suivants : Gestion des risques - Guide de l audit pour les auditeurs - Exigences pour les organismes de certifications ? ; ISO 27005 = Gestion des risques, 27007 = Guide de l audit pour les auditeurs , 27006 = exigences pour les organismes de certifications.
Quel organisme redige les normes ISO ? Et quel organisme approuve les normes en France ? ; C est l entite ISO qui redige les normes. En France, l institut de normalisation est l AFNOR.
Que signifie la nomenclautre : NF EN ISO/IEC 27001:2017 ; NF = Norme francaise (Zone d applicabilite apres validation nationale), EN = EuroNorm Standard (Zone d applicabilite initiale), ISO/IEC = les entites a l origine de la norme, 27001 = le code de la norme, 2017 = annee de validation de la norme.
La certification ISO 27001 est elle obligatoire pour la mise en oeuvre d un SMSI ? ; Non, en revanche la mise en oeuvre d un SMSI est obligatoire pour la certification ISO 27001.
A quoi sert un SMSI ? ; un SMSI est un ensemble de mesures organisationnelles et techniques permettant de definit et atteindre des objectifs en se basant sur un modele d amelioration continue.
Qu est ce qu un systeme QSE ? Qu apporte un tel systeme dans une entreprise ? ; Le systeme de management integre QSE = Qualite Securite Environnement, est l association des trois SM permettant a l entreprise de repondre aux besoins d optimisation des ressources, d eviter la redondance des informations (doc, procedures, ...) et d assurer un equilibre fonctionnel et organisationnel pour faciliter la price de decision.
Quels sont les 6 niveaux standards de maturite d un processus ? ; 0 = inexistant , 1 = initialise (sans methode), 2 = Reproductible (Process present mais non normalise), 3 = Defini (Process + documentation + communication), 4 = Gere (Process surveille et mesure), 5 = Optimise.
Qui va nous permettre d analyser la maturite des processus existants ? ; En general ce sont les responsables d actifs (ou process owner).
