Question;Reponse
Que signifie RGPD ? ; Reglement general sur la protection des donnees.
Quel est le role du RGPD ? ; Permet de definir un cadre juridique unique aux professionnels sur le traitement des donnees personnelles des ressortissants europeens en se basant sur leur confiance.
Quels sont les types de donnees concernees par RGPD ? ; Toute donnee a caractere personnel permettant l identitification de la personne (directement ou indirectement) ainsi que toute donnee sensible comme les origines, opinions politiques, religieuses, sante, orientation sexuelle, ...
Que dit l article 9 concernant les exceptions vis a vis de l interdictions de recueil / utilisation des donnees sensibles ? ; Il est possible de recueillir ou utiliser les datas s'il y a consentement explicite par ecrit, si les donnees sont necessaire dans un cadre medical, recherche, justifie par l interet public / autorise par la CNIL, et enfin si elles concernent les membres d une organisation/asso politique, religieuse, philosophique, politique ou syndicale.
Donnez quelques exemple de type de traitement de donnees personnelles. ; Collecte, Enregistrement, Organisation, Conservation, Adaptation, Modification, Extraction, Consultation, Utilisation, Diffusion, ...
Je suis marchand de tapis et je souhaite, dans le cadre du programme fidelite de mes clients, recuperer le statut marital, ai je le droit ? ; Le RGPD dit clairement qu il est interdit de collecter des donnees personnelles sans une finalite precise et legitime. En l ocurrence ici avec les infos que nous avons, non.
Qui est concerne par le RGPD (nous ne parlons pas des utilisateurs ici) ? ; Tout organisation, societe ou association quelles soient publiques ou prives, qui traite des donnees personnelles pour son compte ou pour un autre organisme.
Est ce que la societe Babidiboo, etablie au Perou et proposant un site d e-commerce en allemand, permettant la livraison en France est concernee par RGPD ? ; Oui. (Traitement de donnees de ressortissants europeens quand bien meme la societe n est pas europeenne).
A partir de quelle date le RGPD est il rentre en vigueur en Europe ? ; Le 25 mai 2016 avec 2 ans de delai de mise en conformite.
Quel organisme en France, est responsable du respect du RGPD ? ; La CNIL. (Commission nationale de l'informatique et des libertés)
Quelles sont les etapes cles d une mise en conformite pour RGPD ? ; Designation d'un pilote / DPO > Cartographie des traitements de donnees > Priorisation > Gestion des risques > Organisation > Documentation.
J'ai dans une BDD, une quantité importante de données personnelles. Je les ai toutes anonymisé grâce à différents process. Suis-je encore concerné par RGPD ? ; Non, le RGPD ne s applique pas aux donnees anonymisees. 
Mon cabinet de manucure prefere, gere tous ses dossiers clients par papier uniquement. Le RGPD s applique t il ? ; Oui, le RGPD s applique a tous les traitements de donnees.
J'organise un evenement ouvert a des prospects et des clients. Suis je concerne par RGPD ? ;  L organisation d evenements suppose le traitement de donnees personnelles (newsletters, fichiers clients-prospects, billetterie, invitations nominatives, jeux-concours…). 
