Question;Reponse
Quelle est la puissance maximum pour l'emission d'onde wifi en France ? Que risque t on si on depasse cette limite ? ; 20 Dbm ou 100 mW et nous risquons 30 000 euros + le retrait du materiel.
Quelles sont les caracteristiques et le nom standard du WIFI 1 ? ; 802.11b, standard publie en 1999 avec un debit theorique de 11Mb/s diffuse sur 2.4GHz.
Quelles sont les caracteristiques et le nom standard du WIFI 2 ? ; 802.11a, standard publie en 1999 qui ameliore le debit a 54 Mb/s sur 5GHz et qui apporte la notion de multiplexage sur les frequences (OFDM).
Quelles sont les caracteristiques et le nom standard du WIFI 3 ? ; 802.11g, standard publie en 2003 qui ameliore le debit de la diffusion sur le 2.4GHz a 54Mb/s.
Quelles sont les caracteristiques et le nom standard du WIFI 4 ? ; 802.11n, standard publie en 2009 qui ameliore les debits des deux bandes 2.4 et 5 GHz a 600 Mb/s.
Quelles sont les caracteristiques et le nom standard du WIFI 5 ? ; 802.11ac, standard publie en 2014 qui ameliore le debit theorique a 1Gb/s diffuse sur la bande de frequence 5GHz.
Quelles sont les caracteristiques et le nom standard du WIFI 6 ? ; 802.11ax, standard publie en 2018 qui ameliore encore le debit theorique des 2 bandes (2.4 et 5GHz) a 10,5 Gb/s.
Quelle norme wifi est actuellement la plus utilisee ? ; La norme WIFI 5 ou 801.11ac.
Comment exprime t on la puissance emetrice d un materiel wifi ? Et le gain ? ; On exprime la puissance en Decibel par milliWatt (Dbm) et le gain en dBi (Decibel isotrope).
Comment exprime t on la sensibilite de reception d un client wifi ? Quelle est la particularite de cette caracteristique ? ; Elle est exprimee en Dbm et est negative (-80Dbm par exemple), plus elle est faible plus le materiel est sensible et meilleure est sa capacite de reception.
Nous captons le meme SSID emis par plusieurs bornes differentes, l une diffuse avec une puissance de 12dBm, une autre de 18dBm, une de 16dBm. Aupres de quelle borne mon client va t il se connecter ? ; Il va se connecter a la borne qui a la puissance la plus elevee = 18dBm.
De combien de canaux dispose la bande de frequence 2.4GHz ? Et de canaux qui ne se chevauchent pas (non overlapping) ? ; La bande 2.4GHz dispose de 13 canaux de 22MHz qui se chevauchent, et ne peut disposer que de 3 non overlapping channels.
En effectuant un bilan d onde, comment sait on si le signal sera assez bon pour le client ? ; Il faut que le resultat final du bilan soit superieur a 10dB (seuil a partir duquel le signal est considere comme bon), plus le resultat est eleve, meilleur c'est.
